scope,protocol,folds,predictions,balanced_accuracy,macro_f1,chance,practical_target,permutation_p,decision,source_artifact
U4SYM_AS01,leave_one_block_out,2,8,0.375,0.250,0.250,0.500,0.317,target not met,FORMAL-4/grouped_validation_metrics.csv
U4ENC_AS01,leave_one_block_out,2,8,0.250,0.183,0.250,0.500,0.760,target not met,FORMAL-4/grouped_validation_metrics.csv
